sku,invoice_number,invoice_date_parsed,item_number,item_title,category,qty,bid_amount,msrp,bid_to_msrp_ratio,discount_pct,line_cost,projected_sale_price_per_unit,projected_revenue,projected_profit
SKU0344,051624-3501-170639,2024-05-16,51,"MtioHig Cordless Heat Gun for Dewalt 20v Battery, Mtiolhig",Tools & Hardware,1.0,17.0,59.99,0.2833805634272379,0.7166194365727621,17.0,41.993,41.993,24.993000000000002
SKU0344,051624-3501-170639,2024-05-16,51,"MtioHig Cordless Heat Gun for Dewalt 20v Battery, Mtiolhig",Tools & Hardware,1.0,17.0,59.99,0.2833805634272379,0.7166194365727621,17.0,41.993,41.993,24.993000000000002
SKU0345,051624-3501-170639,2024-05-16,56,"AVID POWER Heat Gun, 1800W Heat Gun for Crafts, Shrink",Tools & Hardware,1.0,17.0,19.99,0.8504252126063032,0.14957478739369678,17.0,13.992999999999999,13.992999999999999,-3.0070000000000014
SKU0345,051624-3501-170639,2024-05-16,56,"AVID POWER Heat Gun, 1800W Heat Gun for Crafts, Shrink",Tools & Hardware,1.0,17.0,19.99,0.8504252126063032,0.14957478739369678,17.0,13.992999999999999,13.992999999999999,-3.0070000000000014
SKU0346,051624-3501-170639,2024-05-16,62,ETOOLAB HVLP Spray Paint Gun 700W，Paint Sprayers for,Tools & Hardware,1.0,23.0,43.99,0.5228461013866788,0.47715389861332125,23.0,30.793,30.793,7.792999999999999
SKU0346,051624-3501-170639,2024-05-16,62,ETOOLAB HVLP Spray Paint Gun 700W，Paint Sprayers for,Tools & Hardware,1.0,23.0,43.99,0.5228461013866788,0.47715389861332125,23.0,30.793,30.793,7.792999999999999
SKU0347,051624-3501-170639,2024-05-16,65,"BLACK+DECKER Electric Hand Saw, 3.4-Amp",Tools & Hardware,1.0,16.01,57.11,0.28033619331115395,0.7196638066888461,16.01,39.977,39.977,23.966999999999995
SKU0347,051624-3501-170639,2024-05-16,65,"BLACK+DECKER Electric Hand Saw, 3.4-Amp",Tools & Hardware,1.0,16.01,57.11,0.28033619331115395,0.7196638066888461,16.01,39.977,39.977,23.966999999999995
SKU0343,052424-3501-172084,2024-05-24,560,Coca-Cola Classic Coke Bottle 4L Mini Fridge w/ 12V DC,Electronics & Small Appliances,1.0,12.0,42.58,0.28182245185533117,0.7181775481446688,12.0,29.805999999999997,29.805999999999997,17.805999999999997
SKU0342,052424-3501-172114,2024-05-24,44,mophie Wireless 10W Charging Pad,Miscellaneous,1.0,3.0,14.95,0.20066889632107024,0.7993311036789298,3.0,10.464999999999998,10.464999999999998,7.464999999999998
SKU0332,072624-3501-181766,2024-07-26,412,Amazon Brand – Stone & Beam Highland Modern Living,Miscellaneous,1.0,16.0,,,,16.0,24.0,24.0,8.0
SKU0333,072624-3501-181766,2024-07-26,474,"Lush Decor Linen Button Window Curtain Panel, Single, 40""",Bedding & Textiles,1.0,4.0,36.69,0.10902153175252113,0.8909784682474788,4.0,25.682999999999996,25.682999999999996,21.682999999999996
