SKU,Title,Description,Category_Internal,FB_Category,Price,Quantity,Condition,Brand,MPN,Website_Price,FBM_Price,Image_URL,Additional_Images,Tags,Invoice_Number,Item_Number
SKU0344,"MtioHig Cordless Heat Gun for Dewalt 20v Battery, Mtiolhig","MtioHig Cordless Heat Gun for Dewalt 20v Battery, Mtiolhig Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.",Tools & Hardware,Tools & Home Improvement,41.99,1,New – Open Box,MtioHig Cordless Heat,SKU0344,41.99,41.99,,,Tools & Hardware,051624-3501-170639,51
SKU0344,"MtioHig Cordless Heat Gun for Dewalt 20v Battery, Mtiolhig","MtioHig Cordless Heat Gun for Dewalt 20v Battery, Mtiolhig Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.",Tools & Hardware,Tools & Home Improvement,41.99,1,New – Open Box,MtioHig Cordless Heat,SKU0344,41.99,41.99,,,Tools & Hardware,051624-3501-170639,51
SKU0345,"AVID POWER Heat Gun, 1800W Heat Gun for Crafts, Shrink","AVID POWER Heat Gun, 1800W Heat Gun for Crafts, Shrink Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.",Tools & Hardware,Tools & Home Improvement,13.99,1,New – Open Box,AVID POWER Heat,SKU0345,13.99,13.99,,,Tools & Hardware,051624-3501-170639,56
SKU0345,"AVID POWER Heat Gun, 1800W Heat Gun for Crafts, Shrink","AVID POWER Heat Gun, 1800W Heat Gun for Crafts, Shrink Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.",Tools & Hardware,Tools & Home Improvement,13.99,1,New – Open Box,AVID POWER Heat,SKU0345,13.99,13.99,,,Tools & Hardware,051624-3501-170639,56
SKU0346,ETOOLAB HVLP Spray Paint Gun 700W，Paint Sprayers for,ETOOLAB HVLP Spray Paint Gun 700W，Paint Sprayers for Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.,Tools & Hardware,Tools & Home Improvement,30.79,1,New – Open Box,ETOOLAB HVLP Spray,SKU0346,30.79,30.79,,,Tools & Hardware,051624-3501-170639,62
SKU0346,ETOOLAB HVLP Spray Paint Gun 700W，Paint Sprayers for,ETOOLAB HVLP Spray Paint Gun 700W，Paint Sprayers for Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.,Tools & Hardware,Tools & Home Improvement,30.79,1,New – Open Box,ETOOLAB HVLP Spray,SKU0346,30.79,30.79,,,Tools & Hardware,051624-3501-170639,62
SKU0347,"BLACK+DECKER Electric Hand Saw, 3.4-Amp","BLACK+DECKER Electric Hand Saw, 3.4-Amp Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.",Tools & Hardware,Tools & Home Improvement,39.98,1,New – Open Box,BLACK+DECKER Electric Hand,SKU0347,39.98,39.98,,,Tools & Hardware,051624-3501-170639,65
SKU0347,"BLACK+DECKER Electric Hand Saw, 3.4-Amp","BLACK+DECKER Electric Hand Saw, 3.4-Amp Category: Tools & Hardware. Condition: New (Open Box) unless otherwise noted.",Tools & Hardware,Tools & Home Improvement,39.98,1,New – Open Box,BLACK+DECKER Electric Hand,SKU0347,39.98,39.98,,,Tools & Hardware,051624-3501-170639,65
SKU0343,Coca-Cola Classic Coke Bottle 4L Mini Fridge w/ 12V DC,"Coca-Cola Classic Coke Bottle 4L Mini Fridge w/ 12V DC and 110V AC Cords, 6 Can Portable Cooler, Personal Travel Refrigerator for Snacks Lunch Drinks Cosmetics, Desk Home Office Dorm, Red Vintage Coca-Cola Style: Featuring the iconic contoured glass bottle first introduced over 100 years ago, this vibrant red mini-fridge is a keystone piece for Coke memorabilia fans and collectors Compact Size with 4L Capacity: Personal cooler with removable shelf and inset carry handle holds 6 standard soft drink cans and fits easily on a desk or shelf; Dimensions 7 in (17 4 cm) 110V AC and 12V DC Capable: Compact portable mini fridge runs on DC and AC power and comes with both cords so you can use it at home or on the go; ideal for home, dorm, office, truck, trailer or RV Efficient Iceless Cooling: Advanced thermoelectric technology cools to 32°F (18°C) below the surrounding temperature with no need for ice Unique Gift Idea: Portable design, eye-catching chrome accents, and classic Coca-Cola graphics make this travel cooler an ideal fun and functional gift for dads, students, teens, and more Category: Electronics & Small Appliances. Condition: New (Open Box) unless otherwise noted.",Electronics & Small Appliances,Electronics,29.81,1,NEW,Coca,SKU0343,29.81,29.81,,,Electronics & Small Appliances,052424-3501-172084,560
SKU0342,mophie Wireless 10W Charging Pad,mophie Wireless 10W Charging Pad Category: Miscellaneous. Condition: New (Open Box) unless otherwise noted.,Miscellaneous,Other,10.46,1,New – Open Box,mophie Wireless 10W,SKU0342,10.46,10.46,,,Miscellaneous,052424-3501-172114,44
