Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Inventory Policy,Variant Fulfillment Service,Image Src,Image Position,SEO Title,SEO Description
vevor-commercial-indoor-air-curtain-super-power-2-sku0001,VEVOR Commercial Indoor Air Curtain Super Power 2,<p>VEVOR Commercial Indoor Air Curtain Super Power 2</p><p>Category: Bedding & Textiles</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $153.99 – Our Price: $107.79</p>,VEVOR Commercial Indoor,Home & Garden,Bedding & Textiles,"Bedding & Textiles, Home & Garden",TRUE,Title,Default Title,SKU0001,1,107.79,153.99,39.0,TRUE,TRUE,deny,manual,,1,VEVOR Commercial Indoor Air Curtain Super Power 2,Open-box deal: VEVOR Commercial Indoor Air Curtain Super Power 2 in Bedding & Textiles. Save vs MSRP.
beauty-accessories-2-pairs-if-earrings-1-headband-sku0002,"Beauty Accessories, 2 Pairs if Earrings, 1 Headband","<p>Beauty Accessories, 2 Pairs if Earrings, 1 Headband</p><p>Category: Miscellaneous</p><p>Condition: New (Open Box) unless otherwise noted.</p>",Beauty Accessories,Other,Miscellaneous,"Miscellaneous, Other",TRUE,Title,Default Title,SKU0002,1,1.5,,1.0,TRUE,TRUE,deny,manual,,1,"Beauty Accessories, 2 Pairs if Earrings, 1 Headband","Open-box deal: Beauty Accessories, 2 Pairs if Earrings, 1 Headband in Miscellaneous. Save vs MSRP."
heimvision-hm211-outdoor-wi-fi-security-camera-sku0003,HeimVision HM211 Outdoor Wi-Fi Security Camera,<p>HeimVision HM211 Outdoor Wi-Fi Security Camera</p><p>Category: Electronics & Small Appliances</p><p>Condition: New (Open Box) unless otherwise noted.</p>,HeimVision HM211 Outdoor,Electronics,Electronics & Small Appliances,"Electronics & Small Appliances, Electronics",TRUE,Title,Default Title,SKU0003,1,37.5,,25.0,TRUE,TRUE,deny,manual,,1,HeimVision HM211 Outdoor Wi-Fi Security Camera,Open-box deal: HeimVision HM211 Outdoor Wi-Fi Security Camera in Electronics & Small Appliances. Save vs MSRP.
wansview-outdoor-security-camera-1080p-wireless-wifi-sku0004,"wansview Outdoor Security Camera, 1080P Wireless WiFi","<p>wansview Outdoor Security Camera, 1080P Wireless WiFi</p><p>Category: Electronics & Small Appliances</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $24.97 – Our Price: $37.50</p>",wansview Outdoor Security,Electronics,Electronics & Small Appliances,"Electronics & Small Appliances, Electronics",TRUE,Title,Default Title,SKU0004,1,37.5,24.97,25.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15423876/76_1-d5835590-07bc-47ac-bd6c-4b164702ece0.jpg,1,"wansview Outdoor Security Camera, 1080P Wireless WiFi","Open-box deal: wansview Outdoor Security Camera, 1080P Wireless WiFi in Electronics & Small Appliances. Save vs MSRP."
hampton-bay-3-light-white-ceiling-spotlight-sku0005,Hampton Bay 3-Light White Ceiling Spotlight,<p>Hampton Bay 3-Light White Ceiling Spotlight</p><p>Category: Lighting & Electrical</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $24.97 – Our Price: $17.48</p>,Hampton Bay 3,Other,Lighting & Electrical,"Lighting & Electrical, Other",TRUE,Title,Default Title,SKU0005,1,17.48,24.97,3.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15423908/108-949ebf07-c070-4faf-a1e0-af15a3db9993.jpg,1,Hampton Bay 3-Light White Ceiling Spotlight,Open-box deal: Hampton Bay 3-Light White Ceiling Spotlight in Lighting & Electrical. Save vs MSRP.
convertible-backpack-messenger-shoulder-bag-laptop-case-sku0006,Convertible Backpack Messenger Shoulder bag Laptop Case,<p>Convertible Backpack Messenger Shoulder bag Laptop Case</p><p>Category: Apparel</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $52.99 – Our Price: $37.09</p>,Convertible Backpack Messenger,"Clothing, Shoes & Accessories",Apparel,"Apparel, Clothing, Shoes & Accessories",TRUE,Title,Default Title,SKU0006,1,37.09,52.99,20.98,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15423921/121-589df33c-5cd7-4f6f-809c-4c632da9f117.jpg,1,Convertible Backpack Messenger Shoulder bag Laptop Case,Open-box deal: Convertible Backpack Messenger Shoulder bag Laptop Case in Apparel. Save vs MSRP.
36-wood-mantel-shelf-brown-hearth-hand-with-sku0007,36 Wood Mantel Shelf Brown - Hearth & Hand with,<p>36 Wood Mantel Shelf Brown - Hearth & Hand with</p><p>Category: Furniture</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $29.99 – Our Price: $20.99</p>,36 Wood Mantel,Furniture,Furniture,"Furniture, Furniture",TRUE,Title,Default Title,SKU0007,1,20.99,29.99,3.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15423922/122-aec3fc1c-3044-4c0a-9f51-71f32c916f55.jpg,1,36 Wood Mantel Shelf Brown - Hearth & Hand with,Open-box deal: 36 Wood Mantel Shelf Brown - Hearth & Hand with in Furniture. Save vs MSRP.
glass-cutting-board-sku0008,Glass Cutting Board,<p>Glass Cutting Board</p><p>Category: Miscellaneous</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $84.98 – Our Price: $15.00</p>,Glass Cutting Board,General Merchandise,Miscellaneous,"Miscellaneous, General Merchandise",TRUE,Title,Default Title,SKU0008,1,15.0,84.98,10.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15423926/126-47ebd035-d517-415e-8da4-6a73428ed9aa.jpg,1,Glass Cutting Board,Open-box deal: Glass Cutting Board in Miscellaneous. Save vs MSRP.
allen-roth-21-in-3-light-chrome-modern-contemporary-sku0009,Allen+Roth 21-in 3-Light Chrome Modern/Contemporary,<p>Allen+Roth 21-in 3-Light Chrome Modern/Contemporary</p><p>Category: Lighting & Electrical</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $84.98 – Our Price: $59.49</p>,Allen+Roth 21,Other,Lighting & Electrical,"Lighting & Electrical, Other",TRUE,Title,Default Title,SKU0009,3,59.49,84.98,2.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15423929/129-3082687f-bc27-4845-882b-774c7bc771a9.jpg,1,Allen+Roth 21-in 3-Light Chrome Modern/Contemporary,Open-box deal: Allen+Roth 21-in 3-Light Chrome Modern/Contemporary in Lighting & Electrical. Save vs MSRP.
charcoal-grill-sku0010,Charcoal Grill,<p>Charcoal Grill</p><p>Category: Miscellaneous</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $18.00</p>,Charcoal Grill,General Merchandise,Miscellaneous,"Miscellaneous, General Merchandise",TRUE,Title,Default Title,SKU0010,1,18.0,0.0,12.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424220/133-a889598e-a41a-4fb9-88a8-a898c77e0434.jpg,1,Charcoal Grill,Open-box deal: Charcoal Grill in Miscellaneous. Save vs MSRP.
duralast-gold-c-v-shaft-assembly-sku0011,Duralast Gold C.V. Shaft Assembly,<p>Duralast Gold C.V. Shaft Assembly</p><p>Category: Miscellaneous</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $6.00</p>,Duralast Gold C.V.,General Merchandise,Miscellaneous,"Miscellaneous, General Merchandise",TRUE,Title,Default Title,SKU0011,1,6.0,0.0,4.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424223/136-df6f0ef1-da0f-49fd-b4ce-e1956bc17636.jpg,1,Duralast Gold C.V. Shaft Assembly,Open-box deal: Duralast Gold C.V. Shaft Assembly in Miscellaneous. Save vs MSRP.
vcny-84-inch-blackout-panel-pair-curtain-sku0012,VCNY 84-inch Blackout Panel Pair Curtain,<p>VCNY 84-inch Blackout Panel Pair Curtain</p><p>Category: Bedding & Textiles</p><p>Condition: New (Open Box) unless otherwise noted.</p><p>MSRP: $0.00 – Our Price: $4.50</p>,VCNY 84,Home & Garden,Bedding & Textiles,"Bedding & Textiles, Home & Garden",TRUE,Title,Default Title,SKU0012,1,4.5,0.0,3.0,TRUE,TRUE,deny,manual,https://s3.amazonaws.com/prod.maxanet.auction/Mic756/Inventory15424227/140-6eee18a3-da59-4e64-9a73-8a2b5a42536f.jpg,1,VCNY 84-inch Blackout Panel Pair Curtain,Open-box deal: VCNY 84-inch Blackout Panel Pair Curtain in Bedding & Textiles. Save vs MSRP.
